City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,17.11,66,88,9.16,ZA,1674552633
1,domoni,-12.2569,44.5319,27.97,78,100,7.12,KM,1674552829
2,east london,-33.0153,27.9116,27.52,57,0,10.29,ZA,1674552830
3,boca do acre,-8.7522,-67.3978,21.73,99,99,0.94,BR,1674552831
4,dikson,73.5069,80.5464,-20.93,96,100,16.44,RU,1674552832
5,pitea,65.3172,21.4794,-1.95,88,30,2.18,SE,1674552832
6,thompson,55.7435,-97.8558,-34.91,75,0,1.03,CA,1674552833
7,punta arenas,-53.15,-70.9167,5.06,75,0,5.14,CL,1674552362
8,mayo,38.8876,-76.5119,3.4,73,0,4.63,US,1674552834
9,tiksi,71.6872,128.8694,-31.97,100,100,1.87,RU,1674552835
10,rikitea,-23.1203,-134.9692,25.84,77,1,6.99,PF,1674552836
11,saint-pierre,-21.3393,55.4781,25.82,83,75,1.54,RE,1674552836
12,bredasdorp,-34.5322,20.0403,18.06,61,54,8.41,ZA,1674552838
13,havelock,34.8791,-76.9013,4.4,80,0,2.73,US,1674552449
14,margate,51.3813,1.3862,5.5,82,90,1.79,GB,1674552839
15,bengkulu,-3.8004,102.2655,24.33,93,100,5.31,ID,1674552840
16,mataura,-46.1927,168.8643,8.81,87,5,1.31,NZ,1674552841
17,vaini,-21.2,-175.2,27.09,89,75,2.06,TO,1674552841
18,port augusta,-32.5,137.7667,22.34,67,0,8.53,AU,1674552842
19,flinders,-34.5833,150.8552,22.25,93,98,1.43,AU,1674552843
20,grand gaube,-20.0064,57.6608,27.22,82,100,4.02,MU,1674552844
21,cape town,-33.9258,18.4232,21.6,55,75,6.17,ZA,1674552628
22,ushuaia,-54.8,-68.3,5.81,87,0,2.57,AR,1674552680
23,albany,42.6001,-73.9662,0.29,86,90,4.47,US,1674552601
24,nikolskoye,59.7035,30.7861,-2.06,94,100,5.05,RU,1674552846
25,cidreira,-30.1811,-50.2056,23.15,87,3,2.22,BR,1674552847
26,hobart,-42.8794,147.3294,20.92,64,75,3.09,AU,1674552848
27,port alfred,-33.5906,26.891,22.88,78,65,2.68,ZA,1674552850
28,disna,55.568,28.1971,-3.13,83,100,2.9,BY,1674552850
29,coquimbo,-29.9533,-71.3436,16.85,94,75,1.54,CL,1674552851
30,tasiilaq,65.6145,-37.6368,-8.91,63,100,3.2,GL,1674552852
31,souillac,-20.5167,57.5167,27.21,69,75,4.63,MU,1674552853
32,northam,51.0333,-4.2167,0.92,54,13,1.22,GB,1674552853
33,kinablangan,7.6947,126.5503,25.2,90,100,3.51,PH,1674552854
34,salalah,17.0151,54.0924,26.05,57,75,6.17,OM,1674552856
35,ponta do sol,32.6667,-17.1,17.29,62,7,3.46,PT,1674552856
36,kropotkin,45.4375,40.5756,6.3,51,6,7.05,RU,1674552857
37,oranjemund,-28.55,16.4333,21.99,58,3,5.66,NA,1674552858
38,faanui,-16.4833,-151.75,26.22,73,100,4.99,PF,1674552859
39,busselton,-33.65,115.3333,22.85,57,0,10.42,AU,1674552859
40,pochutla,15.7432,-96.4661,20.46,70,0,1.27,MX,1674552860
41,alexandria,31.2156,29.9553,18.78,59,0,5.51,EG,1674552862
42,tuktoyaktuk,69.4541,-133.0374,-22.87,97,100,3.6,CA,1674552862
43,aleksandrov gay,50.147,48.5704,-1.94,53,11,2.9,RU,1674552863
44,chokurdakh,70.6333,147.9167,-30.93,92,100,0.73,RU,1674552864
45,saskylakh,71.9167,114.0833,-22.77,99,100,1.75,RU,1674552864
46,butaritari,3.0707,172.7902,27.36,80,98,7.9,KI,1674552865
47,mitsamiouli,-11.3847,43.2844,27.09,80,100,6.33,KM,1674552866
48,zhigansk,66.7697,123.3711,-45.46,97,100,4.15,RU,1674552867
49,new norfolk,-42.7826,147.0587,20.72,62,79,0.89,AU,1674552868
50,neryungri,56.6709,124.6491,-29.22,95,100,2.69,RU,1674552869
51,narsaq,60.9167,-46.05,-5.88,97,100,1.63,GL,1674552869
52,isangel,-19.55,169.2667,27.06,83,20,0.0,VU,1674552870
53,raha,26.2333,92.5167,25.44,32,18,1.9,IN,1674552871
54,ilulissat,69.2167,-51.1,-4.99,63,100,10.29,GL,1674552871
55,beringovskiy,63.05,179.3167,-24.38,99,95,5.46,RU,1674552872
56,cowra,-33.8333,148.6833,22.44,46,86,3.22,AU,1674552873
57,aguimes,27.9054,-15.4461,16.35,59,40,7.2,ES,1674552875
58,port-cartier,50.0334,-66.8654,-9.18,96,40,2.79,CA,1674552875
59,hurghada,27.2574,33.8129,22.76,44,0,6.42,EG,1674552876
60,sur,22.5667,59.5289,21.0,45,24,5.51,OM,1674552638
61,verkhovazhye,60.7472,42.0465,-6.19,93,99,4.17,RU,1674552877
62,lorengau,-2.0226,147.2712,25.95,83,100,1.87,PG,1674552878
63,vardo,70.3705,31.1107,-2.01,80,0,13.89,NO,1674552879
64,talnakh,69.4865,88.3972,-29.33,95,48,3.79,RU,1674552880
65,itarema,-2.9248,-39.9167,25.31,82,54,1.66,BR,1674552880
66,bluff,-46.6,168.3333,12.34,70,5,5.04,NZ,1674552882
67,manokwari,-0.8667,134.0833,26.18,81,94,0.9,ID,1674552882
68,terrace,54.5163,-128.6035,2.95,93,100,0.0,CA,1674552611
69,bambous virieux,-20.3428,57.7575,27.14,69,75,4.63,MU,1674552884
70,ahipara,-35.1667,173.1667,17.98,91,100,3.44,NZ,1674552884
71,puerto ayora,-0.7393,-90.3518,22.53,97,77,1.05,EC,1674552885
72,comodoro rivadavia,-45.8667,-67.5,14.92,38,0,7.72,AR,1674552886
73,vestmanna,62.1564,-7.1664,7.51,100,100,5.14,FO,1674552887
74,rio gallegos,-51.6226,-69.2181,6.03,65,0,3.09,AR,1674552887
75,kapaa,22.0752,-159.319,22.18,90,0,3.09,US,1674552888
76,meulaboh,4.1363,96.1285,25.91,85,79,5.32,ID,1674552889
77,aklavik,68.2191,-135.0107,-22.24,97,100,4.64,CA,1674552890
78,dingle,10.9995,122.6711,24.2,84,48,5.6,PH,1674552891
79,lebu,-37.6167,-73.65,13.91,90,64,4.77,CL,1674552891
80,nara,34.6851,135.8049,0.65,70,64,9.0,JP,1674552893
81,xaxim,-26.9617,-52.5347,17.21,74,0,1.0,BR,1674552893
82,roma,43.2128,-75.4557,0.77,84,100,7.2,US,1674552894
83,soyo,-6.1349,12.3689,28.73,65,92,1.52,AO,1674552895
84,fairbanks,64.8378,-147.7164,-20.22,79,100,0.0,US,1674552671
85,mahdalynivka,48.921,34.9156,1.85,56,10,4.65,UA,1674552897
86,broome,42.2506,-75.833,-0.08,81,100,6.17,US,1674552897
87,upernavik,72.7868,-56.1549,-20.46,85,100,4.81,GL,1674552898
88,kaitangata,-46.2817,169.8464,11.01,82,14,3.13,NZ,1674552899
89,qaanaaq,77.484,-69.3632,-24.06,64,29,2.06,GL,1674552899
90,urubicha,-15.3833,-62.95,21.99,96,100,1.49,BO,1674552900
91,khatanga,71.9667,102.5,-39.53,96,75,2.95,RU,1674552901
92,atchison,39.563,-95.1216,-1.76,92,100,1.08,US,1674552902
93,kohima,25.6667,94.1167,18.29,36,90,1.65,IN,1674552902
94,ribeira grande,38.5167,-28.7,15.43,88,75,10.29,PT,1674552903
95,flin flon,54.7682,-101.865,-26.23,100,95,1.54,CA,1674552904
96,luena,-11.7833,19.9167,23.73,56,100,3.88,AO,1674552905
97,yellowknife,62.456,-114.3525,-14.69,85,100,4.63,CA,1674552613
98,severo-kurilsk,50.6789,156.125,-9.05,66,67,4.42,RU,1674552906
99,barrow,71.2906,-156.7887,-19.99,77,100,8.75,US,1674552907
100,saint george,37.1041,-113.5841,1.33,64,0,2.24,US,1674552899
101,allapalli,19.4167,80.0667,32.49,22,36,2.09,IN,1674552908
102,longyearbyen,78.2186,15.6401,-3.09,86,75,9.77,SJ,1674552725
103,port blair,11.6667,92.75,29.02,58,20,5.14,IN,1674552693
104,kaseda,31.4167,130.3167,3.14,76,99,15.85,JP,1674552911
105,halifax,44.6453,-63.5724,-1.28,90,100,7.15,CA,1674552757
106,sayyan,15.1718,44.3244,19.68,24,4,2.96,YE,1674552912
107,yagodnoye,62.55,149.6667,-41.11,99,28,1.57,RU,1674552913
108,liberal,37.0431,-100.921,-3.42,80,75,2.06,US,1674552908
109,atuona,-9.8,-139.0333,25.98,74,10,8.9,PF,1674552872
110,avarua,-21.2078,-159.775,23.03,100,96,1.03,CK,1674552914
